event_key,event_date,event_time,event_first_player,first_player_key,event_second_player,second_player_key,event_final_result,event_game_result,event_serve,event_winner,event_status,event_type_type,tournament_name,tournament_key,tournament_round,tournament_season,event_live,event_first_player_logo,event_second_player_logo,event_qualification,download_time
12093972,2026-01-05,05:45,T. Fritz,2832,J. Munar,2083,2 - 1,-,,First Player,Finished,Atp Singles,ATP United Cup,8455,,2026,0,https://api.api-tennis.com/logo-tennis/2832_t-fritz.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,,2026-01-11 16:03:56
12090393,2025-11-23,17:05,F. Cobolli,372,J. Munar,2083,2 - 1,-,,First Player,Finished,Atp Singles,ATP Davis Cup - World Group,3120,,2025,0,https://api.api-tennis.com/logo-tennis/372_f-cobolli.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,,2026-01-11 16:03:56
12084591,2025-11-04,14:10,D. Altmaier,1099,A. Rinderknech,1902,2 - 0,-,,First Player,Finished,Atp Singles,Metz,1616,Metz - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1099_d-altmaier.jpg,https://api.api-tennis.com/logo-tennis/1902_a-rinderknech.jpg,False,2026-01-11 16:03:56
12082794,2025-10-29,11:10,D. Altmaier,1099,C. Ruud,430,2 - 0,-,,First Player,Finished,Atp Singles,Paris,1725,Paris - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1099_d-altmaier.jpg,https://api.api-tennis.com/logo-tennis/430_c-ruud.jpg,False,2026-01-11 16:03:56
12082281,2025-10-27,11:10,D. Altmaier,1099,M. Giron,1766,2 - 0,-,,First Player,Finished,Atp Singles,Paris,1725,Paris - 1/32-finals,2025,0,https://api.api-tennis.com/logo-tennis/1099_d-altmaier.jpg,https://api.api-tennis.com/logo-tennis/1766_m-giron.jpg,False,2026-01-11 16:03:56
12082228,2025-10-25,15:10,J. Fonseca,40058,J. Munar,2083,2 - 0,-,,First Player,Finished,Atp Singles,Basel,1706,Basel - Semi-finals,2025,0,https://api.api-tennis.com/logo-tennis/40058_j-fonseca.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,False,2026-01-11 16:03:56
12080383,2025-10-20,16:35,R. Bertola,1212,J. Munar,2083,0 - 2,-,,Second Player,Finished,Atp Singles,Basel,1706,Basel - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1212_r-bertola.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,False,2026-01-11 16:03:56
12078741,2025-10-14,11:10,D. Altmaier,1099,G. A. Bailly,10840,1 - 2,-,,Second Player,Finished,Atp Singles,Brussels,3669,Brussels - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1099_d-altmaier.jpg,,False,2026-01-11 16:03:56
12076584,2025-10-05,10:45,Y. Nishioka,1972,J. Munar,2083,1 - 2,-,,Second Player,Finished,Atp Singles,Shanghai,1667,Shanghai - 1/16-finals,2025,0,https://api.api-tennis.com/logo-tennis/1972_y-nishioka.jpg,https://api.api-tennis.com/logo-tennis/2083_j-munar.jpg,False,2026-01-11 16:03:56
12075940,2025-10-04,12:35,D. Altmaier,1099,J. Sinner,2072,0 - 2,-,,Second Player,Finished,Atp Singles,Shanghai,1667,Shanghai - 1/32-finals,2025,0,https://api.api-tennis.com/logo-tennis/1099_d-altmaier.jpg,https://api.api-tennis.com/logo-tennis/2072_j-sinner.jpg,False,2026-01-11 16:03:56
